ID,NoD,TAP,LCP,SLC,DC,SDC,BC,CC,TZ,SCZ,SDZ,CD,RCD,SD,RSD,ND,NR,SCR,RCR,RDC,NC,SCC,RCZ,RDZ,RCC,SDCC,BFN,FN,TFP
eclipse/hawkbit,45,4.8,1.1,126.6,0.01411,0.1815,0.000266,25,6,373,13.7,6,13.33,23,51.11,0.3,20,366.9,109,22,2,1.41,607,13.7,1119,1257,0.86,0.014,46.67
eclipse/hono,40,7.1,2.11,305.65,0.0151,0.439,0.000019,26.25,6,922.77,13.12,12,30,26,65,0.43,31,75.06,105,10,4,5.59,564.66,10.833,847,887.8,0.7,0.023,46.02
ipxe/ipxe,150,1.52,0.263,289.5,0.0048,0.076,0.00007,67.54,15,918.65,17.35,1,0.9933,59,39,0.057,14,834.7,420,25,6,25,394,13.93,987,1525,0.99,0.00264,22.11
KDE/kdenlive,103,4.47,1.096,737,0.0081,0.168,0.000016,55.87,12,1744,18.6,5,0.9514,22,0.786408,0.1701,115,386.13,62.7,34.33,3,10.21,969.75,12.66,3761,3879,0.951,0.026,27
apache/nifi,362,0.44,0.04,76.77,0.00006,0.15,0.00003,61.8,18,650.7,31.63,0,0,161,0.555,0.169,75,95.64,58.25,120.6,3,75.93,296.5,26.77,1779,1638.8,1,0.04,43.18
coreboot/seabios,97,2.9,0.266,194.25,0.009,0.118,0.00026,50,14,352.75,9.24,0,0,57,0.4123,0.084,52,42.82,33.8,16,6,11.66,178.9,16,417,793.6,1,0.0123,25.1
KDE/kbibtex,24,21.33,5.5,600.8,0.034,0.279,0.0001,13.66,5,647.5,7.6,3,12.5,5,20.8,0.26,41,86.19,43.17,6,4,2.5,637.6,7.2,797,1332,0.875,0.0099,0.88
eclipse/leshan,39,6.3,0.63,98.8,0.02,0.216,0.00002,22.41,10,182.26,7.6,6,15,22,0.564,0.26,27,29.41,35.03,7.8,5,2.28,104.11,5.8,192.6,268.13,0.846,0.016,22.7
open-power/skiboot,129,3.1,0.2955,108.9,0.005121,0.219052,0.00006,78.72,17,533.7,12.211,25,19.3,62,48.06,0.339,160,29.36,15.17,64.5,2,13.43,302.8,12.62,2459,564.27,0.8,0.084,45.69
composer,922,0.123,0.01,149.36,0.001,0.056,0.0000024,472,25,855.03,83.85,3,0.32,442,45,0.0484,64,214,110,230.5,4,158.76,340.92,42.88,2130.75,2898.25,0.99,0.02,46.26
block-explorer,8,13.25,10.14,202.98,0.11,0.25,0.0048,4.49,6,115.5,1.26,1,12.5,0,0,0.932,17,35.39,39.1,2.66,3,0.577,108.16,2,216.3,342,0.87,0.0357,15.89
KDE/kig,96,8.29,0.32,153.56,0.0073,0.14876,0.00003,49.14,9,842.11,25.84,4,4.1,3,3.125,0.1424,269,69.9,7.3,19,5,9.92,3838.6,14.58,842.1,383.6,0.95,0.0422,41.58
KDE/kio,266,197,5,75,0.003,0.164,0.000008,147,19,408,37.24,12,0.045,47,17.73,0.179,156,46.16,15.18,88.66,3,68.79,188.12,19.78,1192,1177.51,0.95,0.028,31
KDE/kldap,66,0.124,15,38,0.008744,0.135,0.000007,29.94,6,16.79,128.85,2,3.03,8,12.12,0.127,234,15.92,1.68,13,5,7.93,128.25,16.79,134.8,158.21,0.966,0.048,26
KDE/krdc,119,8.93,9.97,41.71,0.00534,0.101834,0.000001,55.911,10,30.23,364.69,3,2.52,8,6.7,0.0833,274,8.3,2.7,29.75,4,18.71,141.2,14,353,382.15,0.97,0.0433,48.15
